"EcoSite","Plot","WaterYear","p_monsoon_D","p_winter_D","p_spring_D","p_annual_D","winter_D","spring_D"
"GLCA_B","B11",2021,481.1999931,37.299999,229.000002,883.5999935,37.1999998,134.2999992
"GLCA_B","B11",2022,420.7000122,37.1999998,258.6000023,903.5000077,53.0999994,138.4999981
"GLCA_B","B11",2023,472,53.0999994,263.3999996,918.6000079,28.7000008,50.3999987
"GLCA_B","B11",2024,453.60001,28.7000008,153.4999972,758.2000086,NA,NA
"GLCA_B","B12",2008,407.3000108,NA,220.5999946,NA,29.5,101.8000023
"GLCA_B","B12",2009,435.8000106,29.5,199.9999992,798.0000068,28.9000008,121.4000006
"GLCA_B","B12",2010,451.7000008,28.9000008,215.7000037,820.5000029,24.7999997,89.7999989
"GLCA_B","B12",2011,388.4999962,24.7999997,195.9999958,777.1999947,32.3000004,114.9999981
"GLCA_B","B12",2012,394.0999985,32.3000004,206.0999966,751.7999891,20.6999996,141.5999966
"GLCA_B","B12",2013,414.2999878,20.6999996,265.8999997,848.6999932,42.2000003,119.9000044
"GLCA_B","B12",2014,370.2999954,42.2000003,225.3000059,792.0000043,23.7000008,132.8999986
"GLCA_B","B12",2015,399.9999963,23.7000008,225.9999971,794.699998,36.4000001,112.9999981
"GLCA_B","B12",2016,374.8000011,36.4000001,188.8999996,727.4000001,6.6999998,101.2999978
"GLCA_B","B12",2017,405,6.6999998,192.2999978,736.1999957,26.099999,121.3000021
"GLCA_B","B12",2018,425.0000077,26.099999,240.499999,845.300015,60.6999988,133.0000038
"GLCA_B","B12",2019,416.2999864,60.6999988,263.0000038,939.1999874,23.4999992,83.8000027
"GLCA_B","B12",2020,473,23.4999992,138.5000035,725.0000089,22.3000008,102.2000008
"GLCA_B","B12",2021,467.8999939,22.3000008,238.3000069,863.499994,31.5,113.6000004
"GLCA_B","B12",2022,392.0000037,31.5,233.6999989,838.3999986,49.5999994,127.5999966
"GLCA_B","B12",2023,414.8999977,49.5999994,248.9999981,836.5999985,17.2999996,60.400001
"GLCA_B","B12",2024,440.1000023,17.2999996,172.5999979,747.5999953,NA,NA
"GLCA_H","H01",2008,408.7000046,NA,194.199997,NA,31.9999994,91.1000004
"GLCA_H","H01",2009,438.6000024,31.9999994,179.5000019,775.4,40.8000002,117.000001
"GLCA_H","H01",2010,448.0000038,40.8000002,220.000001,819.7000065,33,58.8000013
"GLCA_H","H01",2011,388.8999899,33,147.1000044,728.1999899,29.0999999,88.3999996
"GLCA_H","H01",2012,396.3999939,29.0999999,169.8999996,705.8999895,30.800001,121
"GLCA_H","H01",2013,406.6999855,30.800001,235.1999969,816.3999795,42.5,101.5
"GLCA_H","H01",2014,358.6999931,42.5,198.1999969,754.1999969,25.2000009,89.4999985
"GLCA_H","H01",2015,414.3000107,25.2000009,181.1999954,744.7000055,45.2999992,93.4000016
"GLCA_H","H01",2016,377.300003,45.2999992,163.4000016,709.7000036,12.2,69.6000013
"GLCA_H","H01",2017,402.7000046,12.2,149.0000028,693.5000089,34.0999999,72.6999994
"GLCA_H","H01",2018,413.300003,34.0999999,162.7999979,757.399993,64.8000002,134.4000015
"GLCA_H","H01",2019,420.6000061,64.8000002,258.7000046,932.5000181,21.2999999,48.7999994
"GLCA_H","H01",2020,465.7000008,21.2999999,100.0999986,667.9999955,33.4999998,96.1999998
"GLCA_H","H01",2021,466.5,33.4999998,218.7999983,848.8000067,36.4999995,118.7000008
"GLCA_H","H01",2022,407.2000007,36.4999995,235.6000023,856.6999988,48.2999992,123.9999981
"GLCA_H","H01",2023,428.3000108,48.2999992,242.3000012,842.3000184,25.8999996,40.1999988
"GLCA_H","H01",2024,427.7000083,25.8999996,129.5000019,694.3000121,NA,NA
"GLCA_H","H03",2008,412.0000038,NA,195.0999985,NA,31.6000006,91.5999999
"GLCA_H","H03",2009,442.1000062,31.6000006,183.5999999,785.1000107,39.7999997,117.3000012
"GLCA_H","H03",2010,453.5999832,39.7999997,223.3000012,828.7999826,30.6,57.6000018
"GLCA_H","H03",2011,400.7000007,30.6,148.2999987,741.0999987,29,90
"GLCA_H","H03",2012,398.4999886,29,172.5999985,711.9999828,28.5,119.6999988
"GLCA_H","H03",2013,409.2000007,28.5,235.1000003,817.3000087,43.7000008,102.2000008
"GLCA_H","H03",2014,358.5,43.7000008,201.5000039,760.9000045,24.4000003,91.5000005
"GLCA_H","H03",2015,412.699993,24.4000003,186.400002,755.4999922,41.1999998,92.1000023
"GLCA_H","H03",2016,393.5999908,41.1999998,163.2000008,722.6999921,11.2000004,72.0000008
"GLCA_H","H03",2017,406.9000053,11.2000004,154.4000023,705.4000118,31.5000003,70.5000005
"GLCA_H","H03",2018,417.7000046,31.5000003,163.5000005,764.1000094,65.5000019,135.7000047
"GLCA_H","H03",2019,421.5000019,65.5000019,262.0000078,940.2000047,21.6999998,48.3999985
"GLCA_H","H03",2020,468.0999908,21.6999998,102.499997,677.3999894,32.7,101.0999995
"GLCA_H","H03",2021,475.8000031,32.7,226.0999995,866.7000087,38.8000002,120.7999993
"GLCA_H","H03",2022,407.9999885,38.8000002,238.8999978,865.0999919,49.3000002,128.5000048
"GLCA_H","H03",2023,430.3000108,49.3000002,248.9000063,853.3000145,25.4999995,37.499999
"GLCA_H","H03",2024,431.2000008,25.4999995,129.3000021,697.4000063,NA,NA
"GLCA_H","H04",2008,417.9000053,NA,200.699997,NA,32.8000002,91.5999994
"GLCA_H","H04",2009,445.5999985,32.8000002,184.4000025,788.8000022,41.1999998,118.5000029
"GLCA_H","H04",2010,454.1000062,41.1999998,222.9000044,829.3000089,32.8999991,51.0999991
"GLCA_H","H04",2011,395.6000022,32.8999991,142.9000022,731.8000075,30.999999,94.9999972
"GLCA_H","H04",2012,396.9999924,30.999999,183.0999957,727.7999821,30.4000004,118.4999981
"GLCA_H","H04",2013,406.8000031,30.4000004,235.0999966,814.6000062,45.2999992,93.2999983
"GLCA_H","H04",2014,358.600006,45.2999992,191.2999983,753.5999974,25.5000006,88.5000005
"GLCA_H","H04",2015,412.6999931,25.5000006,183.5000005,746.8000026,43.4000006,82.8000011
"GLCA_H","H04",2016,387.1000023,43.4000006,156.1000042,703.0000086,12.6,73.0000019
"GLCA_H","H04",2017,405.0999947,12.6,160.0000019,711.499995,32.9999993,73.5000012
"GLCA_H","H04",2018,419.3999938,32.9999993,166.0999997,766.7999859,64,128.7999992
"GLCA_H","H04",2019,409.5999957,64,252.6000023,916.000002,21.2999997,45.4000013
"GLCA_H","H04",2020,478.2000085,21.2999997,100.2000005,684.000005,32.0999999,90.8000012
"GLCA_H","H04",2021,468.9999923,32.0999999,214.4999981,850.2999973,36.4000001,123.3999977
"GLCA_H","H04",2022,411,36.4000001,242.8999977,869.5999995,50.500001,127.800003
"GLCA_H","H04",2023,430.5000038,50.500001,249.1000061,855.1000147,26.9000006,33.0999996
"GLCA_H","H04",2024,427.6000023,26.9000006,126.2999965,695.0000054,NA,NA
"GLCA_H","H05",2008,408.7000046,NA,194.199997,NA,31.9999994,91.1000004
"GLCA_H","H05",2009,438.6000024,31.9999994,179.5000019,775.4,40.8000002,117.000001
"GLCA_H","H05",2010,448.0000038,40.8000002,220.000001,819.7000065,33,58.8000013
"GLCA_H","H05",2011,388.8999899,33,147.1000044,728.1999899,29.0999999,88.3999996
"GLCA_H","H05",2012,396.3999939,29.0999999,169.8999996,705.8999895,30.800001,121
"GLCA_H","H05",2013,406.6999855,30.800001,235.1999969,816.3999795,42.5,101.5
"GLCA_H","H05",2014,358.6999931,42.5,198.1999969,754.1999969,25.2000009,89.4999985
"GLCA_H","H05",2015,414.3000107,25.2000009,181.1999954,744.7000055,45.2999992,93.4000016
"GLCA_H","H05",2016,377.300003,45.2999992,163.4000016,709.7000036,12.2,69.6000013
"GLCA_H","H05",2017,402.7000046,12.2,149.0000028,693.5000089,34.0999999,72.6999994
"GLCA_H","H05",2018,413.300003,34.0999999,162.7999979,757.399993,64.8000002,134.4000015
"GLCA_H","H05",2019,420.6000061,64.8000002,258.7000046,932.5000181,21.2999999,48.7999994
"GLCA_H","H05",2020,465.7000008,21.2999999,100.0999986,667.9999955,33.4999998,96.1999998
"GLCA_H","H05",2021,466.5,33.4999998,218.7999983,848.8000067,36.4999995,118.7000008
"GLCA_H","H05",2022,407.2000007,36.4999995,235.6000023,856.6999988,48.2999992,123.9999981
"GLCA_H","H05",2023,428.3000108,48.2999992,242.3000012,842.3000184,25.8999996,40.1999988
"GLCA_H","H05",2024,427.7000083,25.8999996,129.5000019,694.3000121,NA,NA
"GLCA_H","H07",2008,411.6000023,NA,195.1000023,NA,32.4000006,93.7999982
"GLCA_H","H07",2009,441.3999977,32.4000006,182.1000013,781.0999994,41.4999995,118.9999981
"GLCA_H","H07",2010,449.3999939,41.4999995,222.8000012,825.199997,33.6000008,63.6000014
"GLCA_H","H07",2011,393.0999986,33.6000008,151.5000029,735.3999962,29.8999991,90.4999981
"GLCA_H","H07",2012,399.5,29.8999991,171.199995,710.6999869,31.8000002,122.9999952
"GLCA_H","H07",2013,410.1000024,31.8000002,236.1999921,822.3999939,42.9000006,103.9000006
"GLCA_H","H07",2014,361.8999939,42.9000006,200.4999991,759.5999986,26.4000003,91.3999996
"GLCA_H","H07",2015,417.300007,26.4000003,182.7000027,749.3000046,45.5999994,96.2999992
"GLCA_H","H07",2016,378.7000008,45.5999994,166.4999961,714.7999963,13.2999995,73.0000024
"GLCA_H","H07",2017,404.1999931,13.2999995,152.1999993,698.7999858,35.0999996,76.999999
"GLCA_H","H07",2018,415.4999999,35.0999996,166.6999959,763.7999897,65.0999985,136
"GLCA_H","H07",2019,424.0999965,65.0999985,260.5,937.3999919,23.2000003,52.4999989
"GLCA_H","H07",2020,466.2999992,23.2000003,103.6999997,674.0999964,34.6000004,99.6000004
"GLCA_H","H07",2021,468.699997,34.6000004,221.4000035,853.4000016,36.8999996,120.5
"GLCA_H","H07",2022,411.1999855,36.8999996,237.5,862.5999785,48.999999,125.0999994
"GLCA_H","H07",2023,431.6000061,48.999999,243.5000009,848.300001,26.7000008,44.4000006
